Year,indicator,description,hdi group,SDG Push No,JETSDG9,Base,,
2044,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,10.88,10.84,11.75,,
2045,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,10.63,10.59,11.46,,
2046,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,10.39,10.35,11.19,,
2047,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,10.16,10.12,10.92,,
2048,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,9.92705,9.88978,10.65,,
2049,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,9.70566,9.66361,10.4,,
2050,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,9.48277,9.44714,10.15,,
2051,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,9.27014,9.23712,9.90446,,
2052,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,9.06245,9.02915,9.66704,,
2053,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,8.8574,8.8228,9.43542,,
2054,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,8.65276,8.62115,9.20941,,
2055,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,8.4533,8.42162,8.98879,,
2056,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,8.2559,8.22959,8.7725,,
2057,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,8.06591,8.03821,8.56506,,
2058,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,7.87809,7.85232,8.35232,,
2059,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,7.69399,7.66859,8.14747,,
2060,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,7.51353,7.48927,7.9453,,
2061,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,7.33851,7.31459,7.748,,
2062,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,7.16554,7.14307,7.5553,,
2063,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,6.99682,6.97362,7.36811,,
2064,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,6.83222,6.81235,7.18547,,
2065,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,6.67284,6.65739,7.00906,,
2066,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,6.52076,6.50633,6.83508,,
2067,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,6.37285,6.35852,6.66393,,
2068,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,6.22691,6.21482,6.49764,,
2069,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,6.08569,6.075,6.33382,,
2070,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,5.95845,5.94876,6.18358,,
2071,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,5.82985,5.82111,6.04106,,
2072,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,5.70739,5.69969,5.90122,,
2073,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,5.58414,5.57847,5.76587,,
2074,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,5.4653,5.45978,5.63434,,
2075,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,5.34887,5.34296,5.508,,
2076,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,5.23458,5.23196,5.38674,,
2077,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,5.12532,5.1226,5.26931,,
2078,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,5.01867,5.01617,5.15471,,
2079,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,4.91367,4.91148,5.04471,,
2080,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,4.81142,4.81009,4.93677,,
2081,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,4.7107,4.71042,4.83216,,
2082,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,4.61326,4.61334,4.72921,,
2083,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,4.51646,4.51776,4.62865,,
2084,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,4.4226,4.42429,4.53082,,
2085,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,4.32979,4.33212,4.43539,,
2086,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,4.23929,4.24293,4.34214,,
2087,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,4.1506,4.15583,4.25059,,
2088,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,4.06415,4.06917,4.16128,,
2089,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,3.97812,3.98599,4.07413,,
2090,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,3.89702,3.90338,3.989,,
2091,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,3.81532,3.82074,3.90552,,
2092,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,3.73395,3.74102,3.82444,,
2093,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,3.65663,3.66927,3.74493,,
2094,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,3.58793,3.59471,3.66824,,
2095,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,3.51427,3.52355,3.5929,,
2096,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,3.44423,3.46016,3.51879,,
2097,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,3.38908,3.40725,3.44579,,
2098,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,3.33601,3.35479,3.37471,,
2099,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,3.28379,3.3024,3.30513,,
2100,MALNCHP,Malnourished children under 5 (percent) ,HDI Medium,3.23147,3.25,3.2366,,
2019,MalnPop,Malnourished population (number of people),HDI Medium,321,320.6,320.6,,
2020,MalnPop,Malnourished population (number of people),HDI Medium,330.6,330.6,330.6,,
2021,MalnPop,Malnourished population (number of people),HDI Medium,315.5,315.5,315.5,,
2022,MalnPop,Malnourished population (number of people),HDI Medium,297.1,297.1,297.1,,
2023,MalnPop,Malnourished population (number of people),HDI Medium,287.3,287.3,287.3,,
2024,MalnPop,Malnourished population (number of people),HDI Medium,277.4,268.5,277.4,,
2025,MalnPop,Malnourished population (number of people),HDI Medium,258.3,253,266.5,,
2026,MalnPop,Malnourished population (number of people),HDI Medium,243.2,235.9,256,,
2027,MalnPop,Malnourished population (number of people),HDI Medium,232.9,225.5,253.4,,
2028,MalnPop,Malnourished population (number of people),HDI Medium,216.6,209.5,243.9,,
2029,MalnPop,Malnourished population (number of people),HDI Medium,201.1,194.1,234.5,,
2030,MalnPop,Malnourished population (number of people),HDI Medium,186.1,179.2,225.4,,
2031,MalnPop,Malnourished population (number of people),HDI Medium,171.8,164.9,216.6,,
2032,MalnPop,Malnourished population (number of people),HDI Medium,158.1,151.5,207.7,,
2033,MalnPop,Malnourished population (number of people),HDI Medium,145.1,138.8,199,,
2034,MalnPop,Malnourished population (number of people),HDI Medium,132.9,126.9,190.7,,
2035,MalnPop,Malnourished population (number of people),HDI Medium,121.4,115.7,182.5,,
2036,MalnPop,Malnourished population (number of people),HDI Medium,110.4,105.1,174.4,,
2037,MalnPop,Malnourished population (number of people),HDI Medium,100,95.58,166.5,,
2038,MalnPop,Malnourished population (number of people),HDI Medium,90.67,86.51,158.5,,
2039,MalnPop,Malnourished population (number of people),HDI Medium,81.7,77.85,150.6,,
2040,MalnPop,Malnourished population (number of people),HDI Medium,73.13,72.19,142.8,,
2041,MalnPop,Malnourished population (number of people),HDI Medium,67.54,66.8,135,,
2042,MalnPop,Malnourished population (number of people),HDI Medium,62.22,61.44,127.3,,
2043,MalnPop,Malnourished population (number of people),HDI Medium,56.88,56.11,119.6,,
2044,MalnPop,Malnourished population (number of people),HDI Medium,51.64,50.88,112.2,,
2045,MalnPop,Malnourished population (number of people),HDI Medium,46.46,45.69,104.8,,
2046,MalnPop,Malnourished population (number of people),HDI Medium,41.32,40.55,97.54,,
2047,MalnPop,Malnourished population (number of people),HDI Medium,36.25,35.44,90.36,,
2048,MalnPop,Malnourished population (number of people),HDI Medium,31.2,30.41,83.27,,
2049,MalnPop,Malnourished population (number of people),HDI Medium,29.41,28.53,79.46,,
2050,MalnPop,Malnourished population (number of people),HDI Medium,27.58,26.78,75.75,,
2051,MalnPop,Malnourished population (number of people),HDI Medium,25.91,25.12,72.11,,
2052,MalnPop,Malnourished population (number of people),HDI Medium,24.32,23.53,68.56,,
2053,MalnPop,Malnourished population (number of people),HDI Medium,22.78,21.96,65.16,,
2054,MalnPop,Malnourished population (number of people),HDI Medium,21.27,20.54,61.88,,
2055,MalnPop,Malnourished population (number of people),HDI Medium,19.92,19.21,58.71,,
2056,MalnPop,Malnourished population (number of people),HDI Medium,18.65,18.02,55.67,,
2057,MalnPop,Malnourished population (number of people),HDI Medium,17.5,16.86,52.79,,
2058,MalnPop,Malnourished population (number of people),HDI Medium,16.4,15.8,49.96,,
2059,MalnPop,Malnourished population (number of people),HDI Medium,15.38,14.79,47.32,,
2060,MalnPop,Malnourished population (number of people),HDI Medium,14.44,13.84,44.72,,
2061,MalnPop,Malnourished population (number of people),HDI Medium,13.54,12.97,42.25,,
2062,MalnPop,Malnourished population (number of people),HDI Medium,12.66,12.11,39.91,,
2063,MalnPop,Malnourished population (number of people),HDI Medium,11.89,11.37,37.69,,
2064,MalnPop,Malnourished population (number of people),HDI Medium,11.18,10.69,35.58,,
2065,MalnPop,Malnourished population (number of people),HDI Medium,10.54,10.07,33.63,,
2066,MalnPop,Malnourished population (number of people),HDI Medium,9.93702,9.50174,31.71,,
2067,MalnPop,Malnourished population (number of people),HDI Medium,9.38551,8.96537,29.88,,
2068,MalnPop,Malnourished population (number of people),HDI Medium,8.86482,8.46359,28.17,,
2069,MalnPop,Malnourished population (number of people),HDI Medium,8.37928,7.99648,26.51,,
2070,MalnPop,Malnourished population (number of people),HDI Medium,7.92666,7.55885,24.93,,
2071,MalnPop,Malnourished population (number of people),HDI Medium,7.49262,7.1396,23.49,,
2072,MalnPop,Malnourished population (number of people),HDI Medium,7.09923,6.76185,22.13,,
2073,MalnPop,Malnourished population (number of people),HDI Medium,6.70813,6.39247,20.85,,
2074,MalnPop,Malnourished population (number of people),HDI Medium,6.33487,6.04181,19.65,,
2075,MalnPop,Malnourished population (number of people),HDI Medium,5.98791,5.34746,18.53,,
2076,MalnPop,Malnourished population (number of people),HDI Medium,5.29261,5.05218,17.48,,
2077,MalnPop,Malnourished population (number of people),HDI Medium,4.98026,4.75757,16.51,,
2078,MalnPop,Malnourished population (number of people),HDI Medium,4.6755,4.47391,15.6,,
2079,MalnPop,Malnourished population (number of people),HDI Medium,4.37842,4.19957,14.75,,
2080,MalnPop,Malnourished population (number of people),HDI Medium,4.09527,3.93598,13.95,,
2081,MalnPop,Malnourished population (number of people),HDI Medium,3.82272,3.67991,13.18,,
2082,MalnPop,Malnourished population (number of people),HDI Medium,3.56051,3.43512,12.37,,
2083,MalnPop,Malnourished population (number of people),HDI Medium,3.3088,3.1986,11.68,,
2084,MalnPop,Malnourished population (number of people),HDI Medium,3.07253,2.97308,11.02,,
2085,MalnPop,Malnourished population (number of people),HDI Medium,2.85572,2.76173,10.4,,
2086,MalnPop,Malnourished population (number of people),HDI Medium,2.65089,2.56315,9.82331,,
2087,MalnPop,Malnourished population (number of people),HDI Medium,2.45677,2.37884,9.27147,,
2088,MalnPop,Malnourished population (number of people),HDI Medium,2.27531,2.20637,8.7563,,
2089,MalnPop,Malnourished population (number of people),HDI Medium,2.10763,2.04117,8.27347,,
2090,MalnPop,Malnourished population (number of people),HDI Medium,1.94716,1.88834,7.825,,
2091,MalnPop,Malnourished population (number of people),HDI Medium,1.79913,1.74783,7.40253,,
2092,MalnPop,Malnourished population (number of people),HDI Medium,1.66298,1.6191,7.01119,,
2093,MalnPop,Malnourished population (number of people),HDI Medium,1.53865,1.50078,6.64301,,
2094,MalnPop,Malnourished population (number of people),HDI Medium,1.42412,1.3909,6.30031,,
2095,MalnPop,Malnourished population (number of people),HDI Medium,1.31797,1.28859,5.97746,,
2096,MalnPop,Malnourished population (number of people),HDI Medium,1.22,1.19408,5.67281,,
2097,MalnPop,Malnourished population (number of people),HDI Medium,1.13073,1.10729,5.38262,,
2098,MalnPop,Malnourished population (number of people),HDI Medium,1.04857,1.02662,5.12131,,
2099,MalnPop,Malnourished population (number of people),HDI Medium,0.97262,0.95019,4.87325,,
2100,MalnPop,Malnourished population (number of people),HDI Medium,0.89988,0.87816,4.63379,,
2019,MALNPOPP,Malnourished population (percent) ,HDI Medium,14,14.21,14.21,,
2020,MALNPOPP,Malnourished population (percent) ,HDI Medium,14.47,14.47,14.47,,
2021,MALNPOPP,Malnourished population (percent) ,HDI Medium,13.64,13.64,13.64,,
2022,MALNPOPP,Malnourished population (percent) ,HDI Medium,12.68,12.68,12.68,,
2023,MALNPOPP,Malnourished population (percent) ,HDI Medium,12.12,12.12,12.12,,
2024,MALNPOPP,Malnourished population (percent) ,HDI Medium,11.56,11.18,11.56,,
2025,MALNPOPP,Malnourished population (percent) ,HDI Medium,10.63,10.41,10.97,,
2026,MALNPOPP,Malnourished population (percent) ,HDI Medium,9.8944,9.59702,10.41,,
2027,MALNPOPP,Malnourished population (percent) ,HDI Medium,9.36713,9.0697,10.19,,
2028,MALNPOPP,Malnourished population (percent) ,HDI Medium,8.61479,8.33612,9.69912,,
2029,MALNPOPP,Malnourished population (percent) ,HDI Medium,7.91524,7.64349,9.22949,,
2030,MALNPOPP,Malnourished population (percent) ,HDI Medium,7.25334,6.98724,8.78054,,
2031,MALNPOPP,Malnourished population (percent) ,HDI Medium,6.63039,6.37077,8.35168,,
2032,MALNPOPP,Malnourished population (percent) ,HDI Medium,6.04528,5.79769,7.93406,,
2033,MALNPOPP,Malnourished population (percent) ,HDI Medium,5.50025,5.2653,7.53353,,
2034,MALNPOPP,Malnourished population (percent) ,HDI Medium,4.99522,4.77419,7.15402,,
2035,MALNPOPP,Malnourished population (percent) ,HDI Medium,4.52156,4.31462,6.78681,,
2036,MALNPOPP,Malnourished population (percent) ,HDI Medium,4.07973,3.88845,6.43339,,
2037,MALNPOPP,Malnourished population (percent) ,HDI Medium,3.66736,3.50773,6.08923,,
2038,MALNPOPP,Malnourished population (percent) ,HDI Medium,3.29807,3.15049,5.75348,,
2039,MALNPOPP,Malnourished population (percent) ,HDI Medium,2.94972,2.81433,5.42438,,
2040,MALNPOPP,Malnourished population (percent) ,HDI Medium,2.6215,2.59109,5.10354,,
2041,MALNPOPP,Malnourished population (percent) ,HDI Medium,2.4045,2.38138,4.79215,,
2042,MALNPOPP,Malnourished population (percent) ,HDI Medium,2.2003,2.17583,4.48565,,
2043,MALNPOPP,Malnourished population (percent) ,HDI Medium,1.99871,1.97454,4.18781,,
2044,MALNPOPP,Malnourished population (percent) ,HDI Medium,1.80358,1.77959,3.90374,,
2045,MALNPOPP,Malnourished population (percent) ,HDI Medium,1.61314,1.58896,3.62302,,
2046,MALNPOPP,Malnourished population (percent) ,HDI Medium,1.427,1.40238,3.35156,,
2047,MALNPOPP,Malnourished population (percent) ,HDI Medium,1.24501,1.21947,3.08692,,
2048,MALNPOPP,Malnourished population (percent) ,HDI Medium,1.06638,1.04095,2.82919,,
2049,MALNPOPP,Malnourished population (percent) ,HDI Medium,1.00034,0.97218,2.68542,,
2050,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.93396,0.90833,2.54726,,
2051,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.87344,0.84862,2.41327,,
2052,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.81666,0.79164,2.28409,,
2053,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.7621,0.73628,2.16169,,
2054,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.70899,0.68604,2.04435,,
2055,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.66196,0.63978,1.93252,,
2056,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.61797,0.59818,1.82567,,
2057,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.5782,0.55829,1.72564,,
2058,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.54052,0.5217,1.62794,,
2059,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.50548,0.48721,1.53755,,
2060,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.47365,0.45511,1.44921,,
2061,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.44338,0.42558,1.36588,,
2062,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.41382,0.39695,1.28742,,
2063,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.38802,0.37208,1.21362,,
2064,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.36451,0.34947,1.1436,,
2065,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.34311,0.32895,1.07945,,
2066,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.32335,0.30998,1.01629,,
2067,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.3052,0.2923,0.95676,,
2068,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.28813,0.27582,0.9012,,
2069,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.27227,0.26053,0.84772,,
2070,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.25754,0.24625,0.79681,,
2071,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.24346,0.23263,0.75065,,
2072,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.23074,0.22039,0.70701,,
2073,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.21813,0.20845,0.66631,,
2074,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.20613,0.19716,0.62838,,
2075,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.195,0.17465,0.59288,,
2076,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.17253,0.16518,0.55979,,
2077,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.16255,0.15575,0.52913,,
2078,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.15281,0.14667,0.50049,,
2079,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.14333,0.1379,0.47406,,
2080,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.13429,0.12947,0.44874,,
2081,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.1256,0.12129,0.42489,,
2082,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.11723,0.11347,0.39947,,
2083,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.10919,0.1059,0.37775,,
2084,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.10165,0.09868,0.35727,,
2085,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.09472,0.09192,0.33812,,
2086,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.08817,0.08555,0.32,,
2087,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.08196,0.07964,0.30281,,
2088,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.07614,0.0741,0.28676,,
2089,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.07076,0.06878,0.27172,,
2090,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.06559,0.06385,0.25775,,
2091,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.06082,0.05931,0.24459,,
2092,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.05643,0.05515,0.23241,,
2093,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.05241,0.05132,0.22094,,
2094,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.0487,0.04775,0.21026,,
2095,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.04525,0.04442,0.2002,,
2096,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.04206,0.04134,0.1907,,
2097,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.03915,0.0385,0.18163,,
2098,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.03646,0.03585,0.17349,,
2099,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.03397,0.03333,0.16575,,
2100,MALNPOPP,Malnourished population (percent) ,HDI Medium,0.03158,0.03095,0.15826,,
2019,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,144,144.1,144.1,,
2020,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,140.8,140.8,140.8,,
2021,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,134.1,134.1,134.1,,
2022,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,128,128,128,,
2023,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,123.7,123.7,123.7,,
2024,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,119.4,119.4,119.4,,
2025,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,115.9,115.8,115.9,,
2026,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,112.3,112,112.2,,
2027,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,108.4,108,108.7,,
2028,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,104.5,104.1,105.2,,
2029,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,100.6,100.1,101.6,,
2030,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,96.56,95.66,98.09,,
2031,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,92.11,91.16,94.56,,
2032,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,87.77,86.75,90.96,,
2033,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,83.6,82.6,87.21,,
2034,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,79.69,78.7,83.52,,
2035,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,75.98,75.01,79.93,,
2036,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,72.48,71.54,76.45,,
2037,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,69.17,68.25,73.17,,
2038,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,66.03,65.17,70.06,,
2039,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,63.11,62.3,67.07,,
2040,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,60.32,59.58,64.23,,
2041,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,57.71,57,61.54,,
2042,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,55.23,54.71,59.02,,
2043,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,53.14,52.68,56.62,,
2044,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,51.17,50.72,54.33,,
2045,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,49.25,48.8,52.15,,
2046,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,47.38,46.94,50.05,,
2047,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,45.6,45.21,48.02,,
2048,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,43.89,43.5,46.05,,
2049,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,42.23,41.88,44.13,,
2050,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,40.68,40.37,42.42,,
2051,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,39.21,38.92,40.78,,
2052,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,37.82,37.54,39.17,,
2053,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,36.5,36.25,37.68,,
2054,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,35.28,35.05,36.3,,
2055,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,34.13,33.91,35.04,,
2056,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,33.05,32.84,33.87,,
2057,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,32.02,31.81,32.81,,
2058,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,31.03,30.83,31.82,,
2059,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,30.08,29.88,30.87,,
2060,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,29.16,28.97,29.96,,
2061,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,28.27,28.08,29.08,,
2062,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,27.41,27.22,28.22,,
2063,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,26.57,26.39,27.38,,
2064,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,25.76,25.58,26.55,,
2065,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,24.97,24.79,25.75,,
2066,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,24.2,24.02,24.97,,
2067,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,23.45,23.29,24.22,,
2068,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,22.74,22.6,23.48,,
2069,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,22.06,21.92,22.77,,
2070,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,21.4,21.26,22.08,,
2071,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,20.76,20.62,21.4,,
2072,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,20.14,20,20.75,,
2073,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,19.53,19.41,20.12,,
2074,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,18.95,18.83,19.5,,
2075,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,18.39,18.27,18.9,,
2076,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,17.84,17.73,18.32,,
2077,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,17.31,17.21,17.76,,
2078,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,16.8,16.7,17.23,,
2079,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,16.3,16.2,16.72,,
2080,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,15.82,15.72,16.22,,
2081,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,15.35,15.25,15.74,,
2082,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,14.89,14.8,15.28,,
2083,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,14.45,14.36,14.82,,
2084,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,14.02,13.94,14.38,,
2085,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,13.6,13.52,13.95,,
2086,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,13.2,13.12,13.54,,
2087,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,12.81,12.73,13.14,,
2088,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,12.42,12.35,12.75,,
2089,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,12.05,11.97,12.37,,
2090,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,11.69,11.61,12,,
2091,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,11.34,11.26,11.65,,
2092,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,11,10.92,11.3,,
2093,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,10.66,10.59,10.96,,
2094,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,10.34,10.27,10.64,,
2095,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,10.03,9.96478,10.32,,
2096,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,9.72823,9.66435,10.01,,
2097,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,9.43519,9.37332,9.71031,,
2098,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,9.1512,9.09251,9.41884,,
2099,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,8.87595,8.82059,9.13604,,
2100,MATMORTRATIO,Maternal mortality (ratio),HDI Medium,8.61029,8.55731,8.86232,,
2019,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI Medium,28,28.04,28.04,,
